urls,label,text
https://www.pewresearch.org/internet/2020/07/28/parents-attitudes-and-experiences-related-to-digital-technology/,center,"In today’s digitally connected world, parents have to manage their own relationship with the internet and mobile devices, along with managing their children’s use of and exposure to the same technology. This brings with it a host of both benefits and challenges."
https://www.axios.com/russia-ukraine-oil-gas-prices-biden-96079a8b-66c9-4b14-bcb4-7f9305a95578.html,center,"The Russian government's moves to redraw the map of Ukraine, while threatening to conduct a wider and more devastating invasion, is already impacting turbulent energy markets."
https://www.wsj.com/articles/america-infrastructure-climate-change-extreme-weather-rain-heat-11636755095?mod=hp_lead_pos5,center,"A 22-foot-high floodwall was supposed to protect Aqua Pennsylvania’s water-treatment facility near the Schuylkill River from a 100-year storm. But when the remains of Hurricane Ida barreled through the area near Philadelphia in September, the 18-inch-thick wall proved no match for the record rains. Waters breached the barrier and inundated the plant. Mud and debris coated offices. Employees rushed to shut down the facility. They barely got out in time, some rolling down car windows in case they got caught in the rising waters and had to leap out, said Chris Franklin, chief executive of Aqua’s parent company, Essential Utilities Inc.: “We’ve never seen destruction like this before.”"
https://www.pewresearch.org/fact-tank/2021/08/10/migrant-encounters-at-u-s-mexico-border-are-at-a-21-year-high/,center,"The U.S. Border Patrol reported nearly 200,000 encounters with migrants along the U.S.-Mexico border in July, the highest monthly total in more than two decades. The number of monthly encounters had fallen to 16,182 in April 2020, shortly after the coronavirus outbreak forced the closure of the southwestern border and slowed migration across much of the world. But migrant encounters have climbed sharply since then, reaching 199,777 in July, according to the latest data from U.S. Customs and Border Protection (CBP), the federal agency that encompasses the Border Patrol. The July figure is the highest monthly total since March 2000 and far surpasses the peak during the last major wave of migration at the U.S.-Mexico border, which occurred in May 2019. A line graph showing that migrant encounters at the southwestern border have soared in recent months How we did this Migrant encounters refer to two distinct kinds of events: apprehensions, in which migrants are taken into custody in the United States to await adjudication, and expulsions, in which migrants are immediately expelled to their home country or last country of transit without being held in U.S. custody. Most encounters that have occurred in recent months have resulted in expulsion, not apprehension, under a public health order known as Title 42. President Donald Trump’s administration invoked Title 42 in March 2020, arguing that it would slow the domestic spread of the coronavirus by expelling migrants rather than holding them in close quarters in U.S. immigration facilities. Between April 2020 and the end of the Trump administration, more than 80% of monthly migrant encounters at the southwestern border resulted in expulsion rather than apprehension. A bar chart showing that a declining share of migrant encounters at the U.S.-Mexico border have resulted in the expulsion Expulsions have become less common – and apprehensions more common – in the first months of President Joe Biden’s administration. In July, 47% of migrant encounters resulted in expulsion, down from 83% in January, when Biden took office. During the same period, the share of migrant encounters that resulted in apprehension rose from 17% to 53%. Despite this shift, the Biden administration announced this month that it would allow Title 42 expulsions to continue, given the current increase in migration and the threat posed by the delta variant of the coronavirus. The administration is also reportedly preparing to offer coronavirus vaccines to migrants who are apprehended and held in U.S. custody. One apparent consequence of the expulsions carried out under Title 42 has been an increase in repeat border crossers. In July, 27% of border encounters involved migrants with at least one previous encounter within the past year, according to CBP statistics. That was up from an average of 14% between the 2014 and 2019 fiscal years, before Title 42 took effect. Single adults drive recent increase in migrant encounters The migrants being encountered at the U.S.-Mexico border today differ demographically from those encountered during the last major increase in southwest migration, in May 2019. Single adults accounted for 53% of migrant encounters in July, up from 28% in May 2019, while people traveling in families represented 38%, down from 64%. The share of encounters involving unaccompanied minors was unchanged at 9%. A chart showing that the profile of migrants encountered at the U.S.-Mexico border has changed since 2019 Migrants’ origin countries have also shifted since May 2019, with Mexican nationals accounting for a larger share of encounters and people from the Northern Triangle countries – El Salvador, Guatemala and Honduras – representing a smaller share. In July, 26% of migrant encounters involved Mexican citizens, up from 13% in May 2019. People from the Northern Triangle countries accounted for 45% of encounters in July, down from 78% in May 2019. Migration from countries other than Mexico and the Northern Triangle has also increased in recent months. Around three-in-ten encounters in July (29%) involved migrants from other countries, up from 9% in May 2019. "
https://apnews.com/1461c95d002ff54474b54cb9376b8b0b,center,"PERTH, Australia (AP) — Wildfires burning across Australia’s two most populous states Tuesday trapped residents of a seaside town in apocalyptic conditions and killed at least two people while more property along the country’s east coast fell victim to a devastating fire season. About 4,000 residents in the southeastern town of Mallacoota in Victoria state fled toward the water Tuesday morning as winds pushed an emergency-level wildfire toward their homes. The smoke-filled sky shrouded the town in darkness before turning an unnerving shade of bright red. Australia’s annual wildfire season, which peaks during the Southern Hemisphere summer, started early after an unusually warm and dry winter. Record-breaking heat and windy conditions triggered devastating wildfires in New South Wales and Queensland states in September. About 5 million hectares (12.35 million acres) of land have burned nationwide over the past few months, with 12 people confirmed dead and more than 1,000 homes destroyed. Nearly 100 fires were burning across the state of New South Wales, which is home to Sydney. New South Wales state Rural Fire Services Commissioner Shane Fitzsimmons said this wildfire season is the worst on record and painted a bleak long-term picture. “We’ve seen extraordinary fire behavior,” he said Tuesday. “What we really need is meaningful rain, and we haven’t got anything in the forecast at the moment that says we’re going to get drought-breaking or fire-quenching rainfall.” The wildfire crisis has reignited debate about whether Prime Minister Scott Morrison’s conservative government has taken enough action on climate change. Australia is the world’s largest exporter of coal and liquefied natural gas. Morrison, whom critics have deemed a climate change skeptic, conceded earlier this month that “climate change along with many other factors” has contributed to the wildfires. The prime minister took criticism for going on a family vacation to Hawaii in December during the crisis. He eventually cut his trip short and publicly apologized. Late Tuesday, Mallacoota was saved by changes of wind direction, but authorities said “numerous” homes were lost. Residents returning home were urged to boil tap water before drinking it. Forest Fire Management Victoria said the wildfires had put heavy demands on tap water that is affecting the supply of water. Stranded residents and vacationers were reported to be sleeping in cars on New Year’s Eve, while gas stations and surf clubs transformed into evacuation areas. Victoria state Premier Daniel Andrews had earlier announced plans to evacuate the trapped people by sea. There were grave fears for four missing people. “We can’t confirm their whereabouts,” Andrews told reporters Tuesday. Andrews has requested assistance from 70 firefighters from the United States and Canada, while Australia’s military sent air and sea reinforcements. Victoria Emergency Services Commissioner Andrew Crisp confirmed “significant” property losses across the region. More than 115 communities across Victoria remained under emergency warnings Tuesday night. Some communities canceled New Year’s fireworks celebrations, but Sydney’s popular display over its iconic harbor controversially went ahead in front of more than a million revelers. The city was granted an exemption to a total fireworks ban in place there and elsewhere to prevent new wildfires. Fire conditions in Victoria and New South Wales worsened after oppressive heat Monday mixed with strong winds and lightning. Police in New South Wales said Tuesday that two men — a 63-year-old father and 29-year-old son — died in a house in the wildfire-ravaged southeast town of Cobargo, and a 72-year-old man remained missing. “They were obviously trying to do their best with the fire as it came through in the early hours of the morning,” New South Wales Police Deputy Commissioner Gary Worboys said. “The other person that we are trying to get to, we think that person was trying to defend their property in the early hours of the morning.” On Monday, a firefighter was killed when extreme winds flipped his truck. Samuel McPaul, 28, was the third volunteer firefighter in New South Wales to have died in the past two weeks. He was an expectant father. More than 130 fires remain burning across New South Wales, with five at an emergency level. Authorities warned that power would be out for 24 hours along the fire-ravaged south coast of the state."
https://apnews.com/article/henri-updates-aftermath-13d9b2a6cd09bd03c2ccd6d9b41571ba,center,"MONROE TOWNSHIP, N.J. (AP) — Residents across the waterlogged Northeast began clearing mud and tearing out sodden carpets Monday after deluges dropped by Tropical Storm Henri, whose remnants threatened further flooding in New England as the system made a slow trek back to the sea. The smell of sewage filled the air as residents of Rossmoor, a retirement community in central New Jersey’s Monroe Township, returned to soaked homes and ruined possessions after Henri turned their streets into rivers. Roseann and John Kiernan said they’d have to likely toss their appliances, tear up walls and carpets and replace their car after their house filled with nearly 2 feet of water on Sunday. “This is what we were left with. Nothing, nothing,” lamented Roseann Kiernan. “They told us that everything has to go.” A few miles away from Monroe, the whirring of portable pumps split the air on the main street in Jamesburg, another hard-hit New Jersey community. Luke Becker, who operates the Four Boys ice cream stand along with his three brothers — one of six the family owns — said nearly 4 feet of water rushed into the shop, dislodging a tall cooler and leaving 3 inches of mud behind. “We were initially hoping to be back open by Labor Day, but now it looks like we’ve got to go through all the plumbing and rip out a ton of electrical because we don’t know how much of that was affected,” he said. “Right now there’s really no timetable.” New Jersey Gov. Phil Murphy toured the storm-ravaged towns Monday, which remained under a flood warning until midnight. Henri spared coastal areas of New York and New England major damage when its center made landfall Sunday in Rhode Island. But its size and slow speed led to deluges in areas from Maine to Pennsylvania. On Monday, Henri’s remnants, now considered a post-tropical cyclone, were moving eastward over New England at a leisurely 9 mph but were expected to accelerate later, prompting flood watches or warnings across swaths of the Northeast. In the Catskills region of New York, Hunter Town Supervisor Daryl Legg believed his mountain community, which was devastated by Tropical Storm Irene in 2011, would be able to weather the slow-moving storm. “I think we escaped any kind of danger so far only because of the length of time it took for the storm to move through,” he said. “This has been a 24-hour period, so it’s not really the same storm, thank goodness.” But downpours, flooding and even tornadoes were still possible in New England, where officials fretted that just a few more inches would be a back-breaker following a summer of record rainfall. “The ground is so saturated with water that every inch of rain creates immediate floods and flash floods,” Connecticut Gov. Ned Lamont said Monday after seeing damage in the community of Canterbury, where nearly every home lost power Sunday amid heavy winds. No deaths have been attributed to Henri, but thousands remained without power across the region as crews scrambled to remove toppled trees and power lines through Monday. President Joe Biden has declared disasters in Massachusetts, Rhode Island, Vermont and Connecticut, opening the purse strings for federal recovery aid to those states. Annette Landry, a resident of Manchester, Connecticut, a Hartford suburb some 40 miles inland, hoped Monday’s rains wouldn’t be a repeat of the deluge that left three units in her condo complex under a few inches of water Sunday. Firefighters said they helped evacuate 18 homes and made several rescues after Henri dumped about 5 inches of rain. “It was a tragedy that this happened, because the people who live here are people who can ill afford to live anywhere else,” said Landry, a 72-year-old retiree whose second-floor home was spared. In central New Jersey, Dolores Hebert was still shaken Monday after being ferried to safety by boat with her dog and cat as 8 inches of rain fell and water surged through the streets in Rossmoor. “I was sleeping and when I woke up, it was up to my knees,” the 76-year-old said as she stood by a front door bearing 18-inch-high watermarks. “I didn’t know what to do. I panicked.”"
https://www.pewresearch.org/politics/2020/10/15/differences-in-how-democrats-and-republicans-behave-on-twitter/,center,"Entering the peak of the the 2020 election season, social media platforms are firmly entrenched as a venue for Americans to process campaign news and engage in various types of social activism. But not all Americans use these platforms in similar ways. A new Pew Research Center analysis of U.S. adults’ Twitter behaviors finds that Democrats and Republicans have notable differences in how they use the site – from how often they tweet to the accounts they follow or mention in their own posts. Small share of highly active Twitter users, majority of whom are Democrats, produce bulk of tweets from U.S. adults Most U.S. adults on Twitter post only rarely. But a small share of highly active users, most of whom are Democrats, produce the vast majority of tweets. The Center’s analysis finds that just 10% of users produced 92% of all tweets from U.S. adults since last November, and that 69% of these highly prolific users identify as Democrats or Democratic-leaning independents. A number of factors contribute to this phenomenon. Previous Twitter analyses by the Center have found that the platform contains a larger share of Democrats than Republicans. And in addition to being more prevalent on the site in general, the 10% most active Democrats typically produce roughly twice as many tweets in a month (157) as the 10% most active Republicans (79). Across both parties, those who use Twitter differ in several ways compared with non-users. For instance, Twitter-using Democrats and Republicans alike tend to be younger and have higher levels of educational attainment compared with members of each party who do not use the platform. Although nearly identical shares of Republican Twitter users (60%) and non-users (62%) describe themselves as very or somewhat conservative, Democrats who use Twitter tend to be more liberal than non-users. Some 60% of Democrats on Twitter describe their political leanings as liberal (with 24% saying they are “very” liberal), compared with 43% among those who are not Twitter users (only 12% of whom say they are very liberal). Beyond posting volume, Democrats and Republicans also differ from each other in their actual behaviors on the platform. For instance, the two accounts followed by the largest share of U.S. adults are much more likely to be followed by users from one party than the other. Former President Barack Obama (@BarackObama) is followed by 42% of Democrats but just 12% of Republicans, while President Donald Trump (@realDonaldTrump) is followed by 35% of Republicans and just 13% of Democrats. Many other popular accounts are followed primarily by those who identify as either Democrat or Republican. However, a small number of the most-followed accounts on Twitter (mostly popular celebrities or entertainers) are followed by similar shares of U.S. adults belonging to each party. Twitter-using Democrats tend to be younger and more liberal than non-users; Twitter-using Republicans are younger, but just as conservative, as other Republicans Democratic and Republican Twitter users differ in several consistent ways compared with members of each party who do not use the platform. Most notably, Democrats and Republicans on the site (incuding political independents who “lean” toward either party) tend to be younger and more highly educated than fellow Democrats or Republicans who are not Twitter users. Democrats on Twitter more likely to identify as liberal than Democrats who are not Twitter users These age differences are especially pronounced among Democrats. Some 37% of adult Democrats on Twitter are between the ages of 18 and 29, a figure that is 21 percentage points higher than their share (16%) among Democrats who are not Twitter users. Roughly one-in-five Republican Twitter users (22%) are 18 to 29 years old, compared with 12% of non-users. The shares of both Democratic (7%) and Republican (12%) Twitter users who are 65 and older are much smaller than among non-users. In addition to being younger, the Twitter-using contingent of each party contains a larger share of college graduates – and a lower share of those with a high school diploma or less – relative to those who are not Twitter users. And for Democrats and Republicans alike, Twitter users are more likely than non-users to say they use a variety of other online social platforms. At the same time, these differences between Twitter users and non-users are not always consistent across parties. Most notably, Twitter-using Democrats include a much larger share of self-identified political liberals than Democrats who are not on the platform (60% vs. 43%). But among Republicans, self-identified conservatives make up a nearly identical share of Twitter users and non-users (60% vs. 62%). Minority of U.S. adults on Twitter create bulk of all tweets, and Democrats make up a majority of this highly active group For Democrats and Republicans alike, tweeting behavior dominated by a small group of highly active U.S. adults on Twitter Regardless of party, most Twitter users tweet very infrequently. The median U.S. adult Twitter user tweeted just once per month during the time period of the study. The median Democrat posts just one tweet per month, and the median Republican has no monthly tweets. Similarly, the typical adult on the platform – regardless of party – has relatively few followers. The median Democrat is followed by just 32 other people, while 21 other users follow the median Republican. Although members of both parties tweet relatively rarely, Democrats are more active users when it comes to other aspects of their Twitter behavior, such as the number of accounts they follow. The median Democrat on Twitter follows 126 other accounts, 1.8 times as many as the number followed by the median Republican (71). Moving beyond the behaviors of the median or typical user, a small share of highly prolific tweeters produce the vast majority of tweets (a finding that is consistent with previous research from the Center). During the period in which this study was conducted, the 10% most active users on the site produced an estimated 92% of all tweets from U.S. adults. And of these highly active users that produce the bulk of content on the site, more than two-thirds (69%) are Democrats while 26% are Republicans. In addition to making up a majority of the most active tweeters among all U.S. adults on Twitter, the most active Democrats also tweet more often than the most active Republicans. The most active 10% of Democrats in terms of tweeting produced on average nearly twice as many tweets per month as the typical Republican in the top 10% of tweeting activity (157 vs. 79). Over the entirety of the 10-month study period, the median Democrat in the top 10% of tweeting activity produced just over 1,600 tweets, compared with just over 800 for the typical Republican in the top 10% of activity. Despite these substantive differences in tweet volume, the top 10% most active Democrats and Republicans are comparable in terms of the number of accounts they follow (580 vs. 582), the number of accounts who follow them (342 vs. 354) and the number of tweets they favorite in a typical month. Presidents, other major political figures rank among the most-followed accounts by U.S. adults Many popular Twitter accounts more likely to be followed by U.S. adult Twitter users of one party U.S. adults on Twitter follow a wide range of other users on the site. The 3,518 Twitter users in this analysis follow a total of almost 750,000 unique accounts. For the most part, there is very little overlap in the accounts that different users follow. Only 10,151 of these 750,000 accounts are followed by more than 10 users in this sample. But some high-profile accounts – typically public figures from entertainment and politics – are followed by substantial shares of U.S. adults on the site. Certain popular accounts are followed by comparable shares of Democrats and Republicans. Late-night host Jimmy Fallon (@jimmyfallon), for instance, is followed by 16% of Democrats on the site and 11% of Republicans. But it is more common for these popular accounts to be followed by a larger share of members from one party than the other. This is especially true for the Twitter accounts of the current and preceeding president. Former President Obama (@BarackObama, followed by 31% of U.S. adults) and President Trump (@realDonaldTrump, 20%) are among the most-followed individual accounts by U.S. adults on the platform. And these two accounts are also the most “distinctive” to Twitter users from each party. Some 42% of Democrats and Democratic leaners on Twitter follow Obama, 30 percentage points higher than the 12% of Republicans who do so. Similarly, 35% of Republicans – but just 13% of Democrats – follow Trump’s personal account. A number of other popular accounts from the world of politics are followed largely by users from one party or the other. Notable examples include Rep. Alexandria Ocasio-Cortez (@AOC) and Fox News personalities Tucker Carlson (@TuckerCarlson) and Sean Hannity (@seanhannity). This analysis also highlights the extent to which members of each party are following their own party’s presidential candidates, as well as those from the other party. (Note: In contrast to the preceding analysis that was based on individual accounts, this analysis includes any account – whether official or unofficial – belonging belonging to each candidate.) Partisan differences in following each presidential ticket Among Democrats, former Vice President Joe Biden and Sen. Kamala Harris are followed by similar shares of users. But among Republicans, a substantially larger share follows Trump than follows Vice President Mike Pence. And although relatively small shares of users follow candidates from the other party, nearly one-in-five Democrats (18%) follow at least one account associated with Trump – comparable to the shares who follow each member of the Democratic presidential ticket. In total, 19% of Democrats on Twitter follow at least one account belonging to a member of their party’s presidential ticket, compared with 38% of Republicans who follow at least one member of their own party’s ticket. Donald Trump (@realDonaldTrump) and Joe Biden (@joebiden) among the most-mentioned accounts by members of both parties Donald Trump, Joe Biden among most-mentioned accounts by U.S. adult Twitter users of each party As is true of the accounts they follow, U.S. adults on Twitter mention a wide range of other users on the site. In the 10 months included in this analysis, respondents in this study mentioned a total of just over 218,000 distinct Twitter accounts in their own tweets. This figure and the analysis that follows includes accounts mentioned in original tweets, in the original text of quoted tweets, or in replies to a specific account. But it does not include retweets in which no additional text was added by the user. And as is also true of the accounts they follow, a small subset of these accounts were mentioned at least once during this time period by a notable share of all U.S. adults on Twitter. Trump (@realDonaldTrump) was mentioned by 12% of U.S. adults on that platform during that period – and by comparable shares of Democrats (13%) and Republicans (12%). Biden (@JoeBiden) and the video-sharing site YouTube (@YouTube) also rank among the three most mentioned accounts during this period for Democrats and Republicans alike. Most common hashtags used by U.S. adult Twitter users Outside these three accounts, there is little overlap in the top 10 most mentioned accounts for Democrats and Republicans. The main CNN account (@CNN) is the only other handle that appears in the top 10 most mentioned for members of both parties. There are also modest differences in the top hashtags used by members of each party, although no single hashtag was used by more than 5% of U.S. adults on Twitter over the study period. The most common hashtags during that time include #BlackLivesMatter, hashtags related to the COVID-19 pandemic (#covid19, #coronovirus), Twitter-related updates (#mytwitteranniversary, #newprofilepic) and those related to various marketing (#sweepstakes, #contest, #giveaway). A pronounced difference between Democrats and Republicans relates to use of the #BlackLivesMatter hashtag. Some 4% of Democrats on Twitter used this hashtag at least once between Nov. 11, 2019, and Sep. 14, 2020, but just 1% of Republicans did so."
https://apnews.com/e48bf51838ced94e2d92adba189b4944,center,"With little fanfare, Britain left the European Union on Friday after 47 years of membership, taking a leap into the unknown in a historic blow to the bloc. The U.K.’s departure became official at 11 p.m. (2300GMT), midnight in Brussels, where the EU is headquartered. Thousands of enthusiastic Brexit supporters gathered outside Britain’s Parliament to welcome the moment they’d longed for since Britain’s 52%-48% vote in June 2016 to walk away from the club it had joined in 1973. The flag-waving crowd erupted in cheers as Big Ben bonged 11 times — on a recording. Parliament’s real bell has been silenced for repairs. In a message from nearby 10 Downing St., Prime Minister Boris Johnson called Britain’s departure “a moment of real national renewal and change.” But many Britons mourned the loss of their EU identity, and some marked the passing with tearful vigils. There was also sadness in Brussels as British flags were quietly removed from the bloc’s many buildings. Whether Brexit makes Britain a proud nation that has reclaimed its sovereignty, or a diminished presence in Europe and the world, will be debated for years to come. While Britain’s exit is a historic moment, it only marks the end of the first stage of the Brexit saga. When Britons wake up on Saturday, they will notice very little change. The U.K. and the EU have given themselves an 11-month “transition period” — in which the U.K. will continue to follow the bloc’s rules — to strike new agreements on trade, security and a host of other areas. Full Coverage: Brexit The now 27-member EU will have to bounce back from one of its biggest setbacks in its 62-year history to confront an ever more complicated world as its former member becomes a competitor, just across the English Channel. French President Emmanuel Macron called Brexit a “historic alarm signal” that should force the EU to improve itself. “It’s a sad day, let’s not hide it,” he said in a televised address. “But it is a day that must also lead us to do things differently.” He insisted that European citizens need a united Europe “more than ever,” to defend their interests in the face of China and the United States, to cope with climate change and migration and technological upheaval. In the many EU buildings of Brussels on Friday, British flags were quietly lowered, folded and taken away. This is the first time a country has left the EU, and many in the bloc rued the day. EU Commission President Ursula von der Leyen lamented that “as the sun rises tomorrow, a new chapter for our union of 27 will start.” But she warned Brexit day would mark a major loss for the U.K. and said the island nation was heading for a lonelier existence. “Strength does not lie in splendid isolation, but in our unique union,” she said. Johnson insisted post-Brexit Britain would be “simultaneously a great European power and truly global in our range and ambitions.” “We want this to be the beginning of a new era of friendly cooperation between the EU and an energetic Britain,” Johnson said in a pre-recorded address to the country broadcast an hour before Britain’s exit. In a break with usual practice, independent media outlets were not allowed to film Johnson’s speech, which the government recorded Thursday at 10 Downing St."
https://www.pewresearch.org/fact-tank/2022/01/05/americans-at-the-ends-of-the-ideological-spectrum-are-the-most-active-in-national-politics/,center,"U.S. adults who fall on either end of the ideological spectrum are more active than other Americans across several measures of political engagement, from voting to posting about politics on social media to donating to campaigns. Americans who hold less consistently liberal or conservative views, by contrast, tend to be less engaged on these topics, as Pew Research Center studies have long found. Here are some recent findings that illustrate this dynamic. How we did this In a major 2021 study, the Center sorted Americans into nine political typology groups, based on an analysis of their political attitudes and values. The typology groups at either end of the political spectrum – Faith and Flag Conservatives on the right and Progressive Left on the left – are also the most politically engaged by several measures. The groups toward the middle of the ideological spectrum, those deemed Stressed Sideliners, Ambivalent Right or Outsider Left, have much lower levels of political engagement. About 85% of adults in the two groups at the ends of the political spectrum voted in 2020 (85% of Faith and Flag Conservatives and 86% of Progressive Left). Moving from either end of the typology toward more ideologically mixed groups shows a gradual decrease in turnout. Faith and Flag Conservatives and those categorized as Progressive Left were also the most likely to report having contributed money to candidates and political organizations in 2020, to have posted support for a candidate or campaign on social media, and to have attended political rallies in person or virtually. The typology groups at the ends of the spectrum register much higher levels of general interest in politics as well. More than half of Faith and Flag Conservatives (55%) say they follow what is going on in government most of the time, followed by Progressive Left (44%), Establishment Liberals (41%) and Committed Conservatives (42%). By comparison, only 19% of Stressed Sideliners say they keep such close tabs on politics and government. Those categorized as Progressive Left or Faith and Flag Conservatives are also generally more likely than other groups to say they talk about politics frequently. Other Center studies have found that this pattern also emerges when it comes to activity on social media. In a September 2020 survey, for example, few social media users overall said they post or share about political or social issues online – 9% said they often do this, and 20% said they sometimes do so. But the 70% of social media users who reported rarely or never posting about political or social issues were more likely to be self-described liberal or moderate Republicans and self-described conservative or moderate Democrats. Among social media users, Republicans who identified as moderate or liberal were 15 percentage points more likely than conservative Republicans to say they never or rarely post or share about political or social issues (83% vs. 68%). Similarly, roughly eight-in-ten conservative or moderate Democrats who use social media (77%) said they never or rarely post this type of content, compared with a smaller share of liberal Democrats (56%). Several Center analyses have found that a small share of Twitter users produce the majority of content on the site. The Twitter conversation about national politics is also driven by a small number of prolific users, according to a 2019 analysis. Some 55% of highly active political tweeters described themselves as either very liberal or very conservative, based on an 11-point measure of ideology where scores of 0 (most conservative) to 2 were defined as very conservative, and scores of 8-10 were defined as very liberal. Among nonpolitical tweeters, 28% also chose one of these more polarized options. In addition to being at the ends of the political spectrum, prolific political tweeters were especially likely to report engaging in political activities. In the year prior to the survey (a time period that included the 2018 midterm election), 34% of this group reported attending a political rally or event, while 57% said they contacted an elected official and 38% said they contributed money to a political campaign. "
https://www.axios.com/iran-nuclear-talks-vienna-deal-timeline-4f859be1-2d57-4f9f-8a4b-0a2b593f2979.html,center,"Last week's round of indirect nuclear talks between the U.S. and Iran in Vienna was the first in which progress was made on both negotiating tracks, sanctions relief and nuclear measures, U.S. officials say. Breaking it down: The working group focusing on sanctions relief required of the U.S. to return to compliance with the 2015 nuclear deal had made steady progress in the first three rounds. But the other, focusing on the nuclear measures required of Iran, stalled due to Iran's hardline positions and the question of what happens to Iran's new advanced centrifuges, U.S. officials contend. That led the Biden administration to make clear both privately and publicly that there would be no deal if Iran didn't roll back its nuclear program sufficiently to put its ""breakout time"" — the time needed to enrich enough uranium for a weapon — at least one year out. But the U.S. side felt Iran showed more flexibility in the fourth round of talks and was reassured that Iran agreed to extend nuclear inspections for another month, avoiding a showdown that could have seriously damaged the chances of a deal. Driving the news: Iran's chief negotiator, Deputy Foreign Minister Abbas Araghchi, told reporters in Vienna on Tuesday that he hopes this will be the final round of talks before an agreement is reached. ""You can have such hope, but you have to be a little bit cautious,"" he said. A U.S. official told me a deal is achievable and shouldn't take months to reach, but it will require more nuclear concessions from Iran. “The latest round of talks was constructive and saw meaningful progress. But much work still needs to be done,"" Rob Malley, who leads the U.S. delegation, tweeted before catching his flight to Vienna."
