senator_name,senator_username,label,tweet
Murkowski,lisamurkowski,center,"The funding package that recently passed Congress includes several provisions aimed to promote safer communities, address public safety, and support victims and survivors of domestic violence. "
Murkowski,lisamurkowski,center,"Throughout my work to author and shepherd the bipartisan infrastructure law, the men and women of our military remained front of mind. I'm proud the $227M in funding I helped secure for the  will specifically support critical projects in Alaska. "
Murkowski,lisamurkowski,center,"Congratulations to  Fagan, the first female four-star Admiral in  history, on her nomination to serve as Commandant of the Coast Guard.Alaska’s reliance on the Coast Guard requires strong leadership, &amp; I congratulate Admiral Fagan on this great news. "
Murkowski,lisamurkowski,center,"After multiple in-depth conversations with Judge Ketanji Brown Jackson and deliberative review of her record and recent hearings, I will support her historic nomination to be an Associate Justice on the U.S. Supreme Court. Read my full statement here: "
Murkowski,lisamurkowski,center,"Funding from the FY22 appropriations package is going directly to Alaskan communities like Skagway, who now have the funds needed to expand capacity at the wastewater treatment plant.  "
Murkowski,lisamurkowski,center,The lack of access to the internet and virtual learning devices disadvantages students across Alaska. This funding from the FCC will help Alaska’s students get their work done. 
Murkowski,lisamurkowski,center,Early Alaskan spring hike up McHugh Creek trail yesterday before I caught the long flight back to D.C. 
Murkowski,lisamurkowski,center,"I’m glad that federal funding is going to support groups like the Housing First Project of Nome, which has been working to address homelessness in Northwest Alaska for years. This money will make real, positive changes for Alaskans. "
Murkowski,lisamurkowski,center,"The funding package signed into law for FY 2022 includes provisions that strengthen food security for Alaskans. From supporting disadvantaged &amp; food-insecure families to enhancing Alaska’s agricultural capabilities, this funding brings positive opportunities to our state. "
Murkowski,lisamurkowski,center,Meeting with young Alaskans is always an inspiration and truly the highlight of my day. 
Murkowski,lisamurkowski,center,"They asked great questions and brought so much excitement for Southeast Alaska, including the Alaska Marine Highway System. Together we cheered, “Ferries!” in the halls of the Senate for my colleagues to hear. "
Murkowski,lisamurkowski,center,This week I got to meet with a group of students who traveled all the way from Petersburg to Washington D.C. Meeting with young Alaskans is always an inspiration and truly the highlight of my day. 
Murkowski,lisamurkowski,center,"The bipartisan infrastructure law will bring transformational changes to our nation’s infrastructure, including through broadband investments in rural communities which will help close the digital divide &amp; enhance village economies across Alaska. "
